"(Intercept)","Age","GenderMale","GenderOther","FieldArts/Entertainment","FieldBusiness","FieldEducation","FieldEngineering","FieldGovernment/Non-profit","FieldHealthcare","FieldInformation Technology","FieldReal Estate","FieldSociety","GenreAnimation","GenreComedy","GenreCrime","GenreDocumentary/History","GenreDrama","GenreFantasy","GenreHorror","GenreRomance","GenreScience-fiction","Frequency16 - 20 hours","Frequency2 - 5 hours","Frequency6 - 10 hours","FrequencyLess than 2 hours","FrequencyMore than 20 hours","FactorRatings of the movie","FactorThe cast and crew of the movie","FactorThe duration of the movie","FactorThe image and trailer of the movie","FactorThe quality of the movie","FactorThe title and description of the movie","PlatformMobile app","PlatformMovie theater","PlatformTelevision","PlatformWeb browser","ID"
1,16,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
1,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2
1,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3
1,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4
1,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,5
1,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6
1,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,7
1,19,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,8
1,19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,9
1,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,10
1,19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,11
